Numero;Sigla;Nome;Cor;Coligacao;Ativo;Criado_Em
10;"REPUBLICAN";"REPUBLICANOS";"#003366";"";"Sim";"Wed Jan 14 2026 13:57:14 GMT+0000 (Coordinated Universal Time)"
11;"PP";"PROGRESSISTAS";"#003366";"";"Sim";"Wed Jan 14 2026 13:55:19 GMT+0000 (Coordinated Universal Time)"
12;"PDT";"PARTIDO DEMOCRÁTICO TRABALHISTA";"#626606";"";"Sim";"Wed Jan 14 2026 13:47:29 GMT+0000 (Coordinated Universal Time)"
13;"PT";"PARTIDO DOS TRABALHADORES";"#660701";"";"Sim";"Wed Jan 14 2026 13:50:11 GMT+0000 (Coordinated Universal Time)"
14;"MISSÃO";"PARTIDO MISSÃO";"#003366";"";"Sim";"Wed Jan 14 2026 14:00:02 GMT+0000 (Coordinated Universal Time)"
15;"MDB";"MOVIMENTO DEMOCRÁTICO BRASILEIRO";"#046607";"";"Sim";"Wed Jan 14 2026 13:46:55 GMT+0000 (Coordinated Universal Time)"
16;"PSTU";"PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO";"#003366";"";"Sim";"Wed Jan 14 2026 13:55:44 GMT+0000 (Coordinated Universal Time)"
18;"REDE";"REDE SUSTENTABILIDADE";"#003366";"";"Sim";"Wed Jan 14 2026 13:58:38 GMT+0000 (Coordinated Universal Time)"
20;"PODE";"PODEMOS";"#003366";"";"Sim";"Wed Jan 14 2026 13:56:58 GMT+0000 (Coordinated Universal Time)"
21;"PCB";"PARTIDO COMUNISTA BRASILEIRO";"#003366";"";"Sim";"Wed Jan 14 2026 13:56:05 GMT+0000 (Coordinated Universal Time)"
22;"PL";"PARTIDO LIBERAL";"#003366";"";"Sim";"Wed Jan 14 2026 13:57:40 GMT+0000 (Coordinated Universal Time)"
23;"CIDADANIA";"CIDADANIA";"#003366";"";"Sim";"Wed Jan 14 2026 13:54:29 GMT+0000 (Coordinated Universal Time)"
25;"PRD";"PARTIDO RENOVAÇÃO DEMOCRÁTICA";"#003366";"";"Sim";"Wed Jan 14 2026 13:59:46 GMT+0000 (Coordinated Universal Time)"
27;"DC";"DEMOCRACIA CRISTÃ";"#003366";"";"Sim";"Wed Jan 14 2026 13:56:33 GMT+0000 (Coordinated Universal Time)"
28;"PRTB";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"#003366";"";"Sim";"Wed Jan 14 2026 13:56:23 GMT+0000 (Coordinated Universal Time)"
29;"PCO";"PARTIDO DA CAUSA OPERÁRIA";"#003366";"";"Sim";"Wed Jan 14 2026 13:56:45 GMT+0000 (Coordinated Universal Time)"
30;"NOVO";"PARTIDO NOVO";"#003366";"";"Sim";"Wed Jan 14 2026 13:58:22 GMT+0000 (Coordinated Universal Time)"
33;"MOBILIZA";"MOBILIZAÇÃO NACIONAL";"#110e66";"";"Sim";"Wed Jan 14 2026 13:53:45 GMT+0000 (Coordinated Universal Time)"
35;"O DEMOCRAT";"O DEMOCRATA";"#003366";"";"Sim";"Wed Jan 14 2026 13:58:57 GMT+0000 (Coordinated Universal Time)"
36;"AGIR";"AGIR";"#1b6623";"";"Sim";"Wed Jan 14 2026 13:53:07 GMT+0000 (Coordinated Universal Time)"
40;"PSB";"PARTIDO SOCIALISTA BRASILEIRO";"#666505";"";"Sim";"Wed Jan 14 2026 13:51:03 GMT+0000 (Coordinated Universal Time)"
43;"PV";"PARTIDO VERDE";"#003366";"";"Sim";"Wed Jan 14 2026 13:54:44 GMT+0000 (Coordinated Universal Time)"
44;"UNIÃO";"UNIÃO BRASIL";"#003366";"";"Sim";"Wed Jan 14 2026 13:59:33 GMT+0000 (Coordinated Universal Time)"
45;"PSDB";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"#1d25f0";"";"Sim";"Wed Jan 14 2026 13:52:07 GMT+0000 (Coordinated Universal Time)"
50;"PSOL";"PARTIDO SOCIALISMO E LIBERDADE";"#003366";"";"Sim";"Wed Jan 14 2026 13:57:28 GMT+0000 (Coordinated Universal Time)"
55;"PSD";"PARTIDO SOCIAL DEMOCRÁTICO";"#003366";"";"Sim";"Wed Jan 14 2026 13:57:54 GMT+0000 (Coordinated Universal Time)"
65;"PCDOB";"PARTIDO COMUNISTA DO BRASIL";"#660202";"";"Sim";"Wed Jan 14 2026 13:50:37 GMT+0000 (Coordinated Universal Time)"
70;"AVANTE";"AVANTE";"#003366";"";"Sim";"Wed Jan 14 2026 13:54:59 GMT+0000 (Coordinated Universal Time)"
77;"SOLIDARIED";"SOLIDARIEDADE";"#003366";"";"Sim";"Wed Jan 14 2026 13:58:10 GMT+0000 (Coordinated Universal Time)"
80;"UP";"UNIDADE POPULAR";"#003366";"";"Sim";"Wed Jan 14 2026 13:59:18 GMT+0000 (Coordinated Universal Time)"